"","elevacion","fechahora","lat_geo","lon_geo","lat_utm","lon_utm","tiempo_GPS","hora","horal","distancia"
"159",603.23,2019-10-09 08:50:43,-26.3499149121,-53.9504542015,7081966.92932379,804369.305383103,3,"08:50:43","11:50:43",0.39220098642661
"160",603.26,2019-10-09 08:50:46,-26.3499175943,-53.9504530281,7081966.62924486,804369.415535102,3,"08:50:46","11:50:46",0.319657353252775
"161",603.33,2019-10-09 08:50:49,-26.3499208633,-53.9504542854,7081966.26986222,804369.281405749,3,"08:50:49","11:50:49",0.383596876386358
"162",603.51,2019-10-09 08:50:52,-26.3499218691,-53.9504557941,7081966.16193725,804369.128102242,3,"08:50:52","11:50:52",0.187482705049226
"163",603.35,2019-10-09 08:50:55,-26.3499257248,-53.9504574705,7081965.73851165,804368.950581442,3,"08:50:55","11:50:55",0.459132743814543
"164",603.42,2019-10-09 08:50:58,-26.3499289099,-53.9504583925,7081965.38763709,804368.850156946,3,"08:50:58","11:50:58",0.36496306214623
"165",603.5,2019-10-09 08:51:01,-26.3499316759,-53.9504588116,7081965.08203001,804368.801053354,3,"08:51:01","11:51:01",0.309526815115814
"166",603.47,2019-10-09 08:51:04,-26.3499336876,-53.9504578896,7081964.85686621,804368.887856576,3,"08:51:04","11:51:04",0.241316253918653
"167",603.42,2019-10-09 08:51:07,-26.3499338552,-53.9504576381,7081964.83769471,804368.912533475,3,"08:51:07","11:51:07",0.0312489322253491
"168",603.58,2019-10-09 08:51:10,-26.3499336876,-53.9504574705,7081964.85587652,804368.929710241,3,"08:51:10","11:51:10",0.0250123862739432
"169",603.57,2019-10-09 08:51:13,-26.3499329332,-53.9504570514,7081964.93850816,804368.973541254,3,"08:51:13","11:51:13",0.0935368680529935
"170",603.56,2019-10-09 08:51:16,-26.3499316759,-53.9504570514,7081965.07787335,804368.976836749,3,"08:51:16","11:51:16",0.139404148610539
"171",603.58,2019-10-09 08:51:19,-26.3499324303,-53.9504575543,7081964.9954396,804368.924636999,3,"08:51:19","11:51:19",0.0975711885422028
"172",603.51,2019-10-09 08:51:22,-26.3499340229,-53.9504574705,7081964.81871025,804368.92883139,3,"08:51:22","11:51:22",0.176779116003334
"173",603.68,2019-10-09 08:51:25,-26.3499357831,-53.9504564647,7081964.62122604,804369.024662547,3,"08:51:25","11:51:25",0.219507691186351
"174",603.57,2019-10-09 08:51:28,-26.3499361183,-53.9504549559,7081964.58050787,804369.174461139,3,"08:51:28","11:51:28",0.155233977219057
"175",603.69,2019-10-09 08:51:31,-26.3499373756,-53.9504556265,7081964.44272628,804369.104195787,3,"08:51:31","11:51:31",0.154664108306263
"176",603.67,2019-10-09 08:51:34,-26.349939974,-53.9504583087,7081964.16104103,804368.829525704,3,"08:51:34","11:51:34",0.393433898354106
"177",603.65,2019-10-09 08:51:37,-26.349944165,-53.9504585601,7081963.69708407,804368.793434517,3,"08:51:37","11:51:37",0.46535861363696
"178",603.84,2019-10-09 08:51:40,-26.3499494456,-53.9504583087,7081963.11116324,804368.804699799,3,"08:51:40","11:51:40",0.586029112290731
"179",603.84,2019-10-09 08:51:43,-26.3499531336,-53.9504576381,7081962.70078395,804368.862003066,3,"08:51:43","11:51:43",0.414360749173879
"180",603.74,2019-10-09 08:51:46,-26.349957576,-53.9504542015,7081962.20025149,804369.193557112,3,"08:51:46","11:51:46",0.600383899113591
"181",603.76,2019-10-09 08:51:49,-26.3499611802,-53.9504505135,7081961.79203547,804369.552414334,3,"08:51:49","11:51:49",0.543524443994662
"182",603.79,2019-10-09 08:51:52,-26.3499623537,-53.9504463226,7081961.65206236,804369.967865029,3,"08:51:52","11:51:52",0.438396797221
"183",603.83,2019-10-09 08:51:55,-26.3499605935,-53.9504432213,7081961.83984776,804370.282191741,3,"08:51:55","11:51:55",0.366148380054606
"184",603.91,2019-10-09 08:51:58,-26.3499585818,-53.9504415449,7081962.0588755,804370.454879236,3,"08:51:58","11:51:58",0.278915974486525
"185",603.89,2019-10-09 08:52:01,-26.3499572407,-53.9504413772,7081962.20713346,804370.475141853,3,"08:52:01","11:52:01",0.149636222300569
